season,date,home,score,away,replay_str,replay,replay_two
7,"September 12, 2019",Flip Squad,12 - 35,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=669ad5ec762601f8065e09fd4a2c2e64,
7,"September 12, 2019",Fairborn Skyhawks,14 - 27,Panama Pandemic,Replay,https://thehax.pl/forum/powtorki.php?nagranie=eacb4209066a5f7d7b80a67e1a4c458b,
7,"September 15, 2019",Riverside Groundhawks,21 - 10,Anti Larva Area,Replay,https://thehax.pl/forum/powtorki.php?nagranie=d5031aeaf6f6d65f893d39d59fe4ecf1,
7,"September 15, 2019",Loona Orbits,14 - 0,Havana Hurricanes,Replay,https://thehax.pl/forum/powtorki.php?nagranie=595b662ed9cac9c2f352efc56f2ec6f1,
7,"September 15, 2019",Vauxhall Vanguard,24 - 17,Flip Gear,Replay,https://thehax.pl/forum/powtorki.php?nagranie=dbaad54ff67bd5c0ce67a1edcbb4c38c,
7,"September 15, 2019",Panama Pandemic,27 - 13,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=de7def75a2eff503c154b107c518c053,
7,"September 15, 2019",London Redcoats,20 - 24,Fairborn Skyhawks,Replay,https://thehax.pl/forum/powtorki.php?nagranie=5754f81c36feafabda536c98e3317f90,
7,"September 15, 2019",No Fly Zone,24 - 14,Flip Squad,Replay,https://thehax.pl/forum/powtorki.php?nagranie=601e8dfe68c33ba410ebe403f4483ecd,
7,"September 19, 2019",Havana Hurricanes,13 - 23,Vauxhall Vanguard,Replay,https://thehax.pl/forum/powtorki.php?nagranie=efa09aa8d459843890e23971f7b8cb8c,
7,"September 19, 2019",Anti Larva Area,6 - 42,Loona Orbits,Replay,https://thehax.pl/forum/powtorki.php?nagranie=202af5c06253b7c6cfe207be75ac04ef,
7,"September 19, 2019",Flip Gear,7 - 10,Riverside Groundhawks,Replay,https://thehax.pl/forum/powtorki.php?nagranie=f6f1321798de341d93424beba82fe331,
7,"September 19, 2019",Flip Squad,20 - 13,Panama Pandemic,Replay,https://thehax.pl/forum/powtorki.php?nagranie=1687a1e602d7d8beee42fddc5a61ccd6,
7,"September 19, 2019",Fairborn Skyhawks,35 - 10,No Fly Zone,Replay,https://thehax.pl/forum/powtorki.php?nagranie=918c2c5753d5ed75bc40129d42a18a47,
7,"September 19, 2019",Loonaverse,6 - 24,London Redcoats,Replay,https://thehax.pl/forum/powtorki.php?nagranie=28b78513eed7bcb835458278aef937f3,
7,"September 22, 2019",Riverside Groundhawks,31 - 42,Vauxhall Vanguard,Replay,https://thehax.pl/forum/powtorki.php?nagranie=721ccf88762b68022d7e3d8e30b708d6,
7,"September 22, 2019",Loona Orbits,21 - 14,Flip Gear,Replay,https://thehax.pl/forum/powtorki.php?nagranie=2c2b9a3ec882a79c599efcb9c4e1b0d2,
7,"September 22, 2019",Anti Larva Area,17 - 28,Havana Hurricanes,Replay,https://thehax.pl/forum/powtorki.php?nagranie=05b9b0c7b899d4ed1138e7d3cd8ba17b,
7,"September 22, 2019",London Redcoats,42 - 24,Panama Pandemic,Replay,https://thehax.pl/forum/powtorki.php?nagranie=6f2464038d38c2c48355dc95b0ee263c,
7,"September 22, 2019",Fairborn Skyhawks,21 - 17,Flip Squad,Replay,https://thehax.pl/forum/powtorki.php?nagranie=9495eefcf0ec48b8792725e4de75cdba,
7,"September 22, 2019",No Fly Zone,10 - 13,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=872041d4d2166494d9325607debb3f52,
7,"September 26, 2019",Flip Gear,14 - 31,Anti Larva Area,Replay,https://thehax.pl/forum/powtorki.php?nagranie=203ac9d362a6a0de050cdf91257e2749,
7,"September 26, 2019",Havana Hurricanes,35 - 10,Riverside Groundhawks,Replay,https://thehax.pl/forum/powtorki.php?nagranie=f7433a6a4ce49acd33c7f5deb203c1d2,
7,"September 26, 2019",Vauxhall Vanguard,24 - 7,Loona Orbits,Replay,https://thehax.pl/forum/powtorki.php?nagranie=6ebf559a1d134c693aefe11dbbca0f72,
